epoch time,date & time,smell value,skewed latitude,skewed longitude,zipcode,smell description,symptoms,additional comments
1565865616,08/15/2019 06:40:16 -04:00,5,43.6248,-70.2773,04106,Diesel sulfur ,Nausea ,
1565869130,08/15/2019 07:38:50 -04:00,3,43.6346,-70.2679,04106,Gas,,
1565869146,08/15/2019 07:39:06 -04:00,3,43.6348,-70.2701,04106,Oil/asphalt,,
1565899490,08/15/2019 16:04:50 -04:00,1,43.635,-70.2742,04106,,,
1565947167,08/16/2019 05:19:27 -04:00,5,43.642,-70.2356,04106,Tank fumes ,"Inside my home home wreaks, came in through windows",
1565951437,08/16/2019 06:30:37 -04:00,1,43.6339,-70.2684,04106,,,
1566038895,08/17/2019 06:48:15 -04:00,1,43.634,-70.2682,04106,,,
1566214481,08/19/2019 07:34:41 -04:00,3,43.6384,-70.2506,04106,p**p,,
1566214882,08/19/2019 07:41:22 -04:00,1,43.6351,-70.2761,04106,,,
1566248137,08/19/2019 16:55:37 -04:00,4,43.6504,-70.2589,04101,Raw sewage,Irritating,
1566249690,08/19/2019 17:21:30 -04:00,3,43.6557,-70.2769,04102,easterlies bringin the sewage plant stench from the Back Cove,,
1566257438,08/19/2019 19:30:38 -04:00,3,43.6439,-70.2336,04106,Tank farm smell bug light,,
1566336279,08/20/2019 17:24:39 -04:00,3,43.6304,-70.2719,04106,Oil and tar,,
1566473005,08/22/2019 07:23:25 -04:00,3,43.6361,-70.2567,04106,p**p,,
1566475032,08/22/2019 07:57:12 -04:00,1,43.6382,-70.2681,04106,,,
1566503597,08/22/2019 15:53:17 -04:00,4,43.6476,-70.2647,04102,Fresh asphalt / burning petroleum smell,Throat irritation ,
1566602727,08/23/2019 19:25:27 -04:00,5,43.6293,-70.2738,04106,,,
1566613188,08/23/2019 22:19:48 -04:00,3,43.6276,-70.2764,04106,Tank fumes,,
1566613509,08/23/2019 22:25:09 -04:00,5,43.6351,-70.2857,04106,"Petroleum, Diesel Tanks",,
1566614406,08/23/2019 22:40:06 -04:00,3,43.6286,-70.2841,04106,Petro tank fumes,,
1566614922,08/23/2019 22:48:42 -04:00,3,43.6264,-70.2763,04106,Tank.fumes,,
1566615361,08/23/2019 22:56:01 -04:00,3,43.6204,-70.2731,04106,Tank fumes,,
1566688899,08/24/2019 19:21:39 -04:00,3,43.6343,-70.2877,04106,Oil,,
1566734345,08/25/2019 07:59:05 -04:00,4,43.6218,-70.3021,04106,Oil,,
1566784395,08/25/2019 21:53:15 -04:00,1,43.6307,-70.2731,04106,,,
1566786483,08/25/2019 22:28:03 -04:00,3,43.6253,-70.2617,04106,Tank fumes,,
1566786656,08/25/2019 22:30:56 -04:00,3,43.6245,-70.2516,04106,Tank fumes,,
1566787734,08/25/2019 22:48:54 -04:00,4,43.6348,-70.2602,04106,Tank farm smell,,
1566787852,08/25/2019 22:50:52 -04:00,4,43.6317,-70.2649,04106,Oil,,
1566816864,08/26/2019 06:54:24 -04:00,3,43.606,-70.2828,04106,"Oil, industrial smell",,
1566852078,08/26/2019 16:41:18 -04:00,4,43.6415,-70.2571,04106,Sewage,,
1566873255,08/26/2019 22:34:15 -04:00,3,43.643,-70.2355,04106,Oil tanks fumes,,
1566874225,08/26/2019 22:50:25 -04:00,4,43.6297,-70.2691,04106,Tank farm,,
1566910616,08/27/2019 08:56:56 -04:00,5,43.6685,-70.2536,04101,Chemicals or pesticide ,"Headache, muscle pain, eye irritation & breathing difficulty",
1566910650,08/27/2019 08:57:30 -04:00,5,43.6686,-70.2554,04101,Like poison,Head ache,
1566925125,08/27/2019 12:58:45 -04:00,5,43.6645,-70.2638,04101,Rotten egg ,,
1566995050,08/28/2019 08:24:10 -04:00,1,43.6331,-70.2767,04106,,,
1567009042,08/28/2019 12:17:22 -04:00,1,43.6482,-70.269,04102,,,
1567039560,08/28/2019 20:46:00 -04:00,5,43.636,-70.287,04106,STRONG oil/petroleum smell,,
1567089245,08/29/2019 10:34:05 -04:00,3,43.6244,-70.2794,04106,Tank farm ,Swollen glands,
1567132473,08/29/2019 22:34:33 -04:00,4,43.642,-70.2355,04106,Bug light tank farm,General irritation ,
1567168724,08/30/2019 08:38:44 -04:00,3,43.6418,-70.2333,04106,Petroleum tanks,,
1567169096,08/30/2019 08:44:56 -04:00,5,43.6321,-70.2723,04106,,,
1567169110,08/30/2019 08:45:10 -04:00,5,43.6317,-70.273,04106,Asphalt,,
1567212619,08/30/2019 20:50:19 -04:00,3,43.6247,-70.2794,04106,,,
1567270063,08/31/2019 12:47:43 -04:00,3,43.6279,-70.2765,04106,,,
1567293840,08/31/2019 19:24:00 -04:00,4,43.6351,-70.2874,04106,Oil,,
